,date,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,k,d,a,teamkills,teamdeaths,doubles,triples,quadras,pentas,fb,fbassist,fbvictim,fbtime,kpm,okpm,ckpm,fd,fdtime,teamdragkills,oppdragkills,elementals,oppelementals,firedrakes,waterdrakes,earthdrakes,airdrakes,elders,oppelders,herald,heraldtime,ft,fttime,firstmidouter,firsttothreetowers,teamtowerkills,opptowerkills,fbaron,fbarontime,teambaronkills,oppbaronkills,dmgtochamps,dmgtochampsperminute,dmgshare,earnedgoldshare,wards,wpm,wardshare,wardkills,wcpm,visionwards,visionwardbuys,visiblewardclearrate,invisiblewardclearrate,totalgold,earnedgpm,goldspent,gspd,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,oppgoldat10,gdat10,goldat15,oppgoldat15,gdat15,xpat10,oppxpat10,xpdat10,csat10,oppcsat10,csdat10,csat15,oppcsat15,csdat15
12,43740.22388888889,Blue,Top,Huni,Clutch Gaming,Akali,Syndra,Yuumi,Qiyana,Caitlyn,Draven,38.06666666666667,0,3,5,4,8,16,0,0,0,0,0,1,0,7.924383333333333,0.07880910683012259,0.052539404553415055,0.6304728546409807,0,17.121616666666664,0,4,0,0,0,0,0,0,0,0,1,,0,13.696416666666666,0,0,3,11,0.0,22.9774,0,2,14933,392.28546409807353,0.2885771155815796,0.2596638836057295,8,0.21015761821366022,0.058823529411764705,8,0.21015761821366022,2,2, , ,14601,253.92399299474607,13600,-0.005499541704857928,300,5,1,0,8.012259194395796,3438,2895,543,4816,5550,-734,4668,4347,321,85,68,17,121,110,11
13,43740.22388888889,Blue,Jungle,Lira,Clutch Gaming,Ekko,Syndra,Yuumi,Qiyana,Caitlyn,Draven,38.06666666666667,0,1,5,6,8,16,0,0,0,0,1,0,0,7.924383333333333,0.026269702276707527,0.07880910683012259,0.6304728546409807,0,17.121616666666664,0,4,0,3,0,0,0,0,0,0,1,,0,13.696416666666666,0,0,3,11,0.0,22.9774,0,2,10854,285.1313485113835,0.209751289929851,0.1803090379635301,43,1.1295971978984236,0.3161764705882353,20,0.5253940455341506,15,17, , ,11647,176.323292469352,11325,-0.08456659619450317,66,134,97,9,5.253940455341506,3210,3753,-543,4663,5204,-541,3130,4078,-948,47,63,-16,75,89,-14
14,43740.22388888889,Blue,Middle,Damonte,Clutch Gaming,Renekton,Syndra,Yuumi,Qiyana,Caitlyn,Draven,38.06666666666667,0,1,3,1,8,16,0,0,0,0,0,0,0,7.924383333333333,0.026269702276707527,0.13134851138353765,0.6304728546409807,0,17.121616666666664,0,4,0,1,0,0,0,0,0,0,1,,0,13.696416666666666,0,0,3,11,0.0,22.9774,0,2,5124,134.60595446584938,0.09902023305698882,0.18237752920064904,25,0.6567425569176882,0.18382352941176472,6,0.15761821366024517,13,13, , ,11724,178.3460595446585,11325,-0.3598841419261405,266,7,6,0,7.171628721541155,3016,3733,-717,5064,5650,-586,4239,4842,-603,75,86,-11,126,140,-14
15,43740.22388888889,Blue,ADC,Cody Sun,Clutch Gaming,Xayah,Syndra,Yuumi,Qiyana,Caitlyn,Draven,38.06666666666667,0,3,1,2,8,16,1,0,0,0,0,0,0,7.924383333333333,0.07880910683012259,0.13134851138353765,0.6304728546409807,0,17.121616666666664,0,4,0,0,0,0,0,0,0,0,1,,0,13.696416666666666,0,0,3,11,0.0,22.9774,0,2,15290,401.6637478108581,0.2954760662453862,0.31621159859450054,13,0.3415061295971979,0.09558823529411764,8,0.21015761821366022,6,6, , ,16706,309.22171628721543,15100,0.11558669001751314,375,24,24,0,10.481611208406305,3524,3040,484,4852,4845,7,3287,3284,3,88,65,23,120,105,15
16,43740.22388888889,Blue,Support,Vulcan,Clutch Gaming,Rakan,Syndra,Yuumi,Qiyana,Caitlyn,Draven,38.06666666666667,0,0,2,4,8,16,0,0,0,0,0,0,0,7.924383333333333,0.0,0.026269702276707527,0.6304728546409807,0,17.121616666666664,0,4,0,0,0,0,0,0,0,0,1,,0,13.696416666666666,0,0,3,11,0.0,22.9774,0,2,5546,145.69176882661995,0.10717529518619437,0.061437950635590946,47,1.2346760070052538,0.34558823529411764,12,0.31523642732049034,18,20, , ,7222,60.079859894921185,7450,-0.10793650793650794,15,0,0,0,0.39404553415061294,1898,1895,3,2841,2915,-74,2547,2867,-320,0,7,-7,2,9,-7
17,43740.22388888889,Red,Top,BOSS,Unicorns of Love,Neeko,Pantheon,Rumble,Gangplank,Skarner,Elise,38.06666666666667,1,2,2,11,16,8,0,0,0,0,0,0,1,7.924383333333333,0.052539404553415055,0.07880910683012259,0.6304728546409807,0,17.121616666666664,4,0,0,0,0,0,0,0,0,0,0,,1,13.696416666666666,1,1,11,3,1.0,22.9774,2,0,13270,348.5989492119089,0.18003961685615824,0.21556306911003822,22,0.5779334500875656,0.16296296296296298,5,0.13134851138353765,7,7, , ,14409,248.88021015761822,13675,0.005499541704857928,232,11,3,3,6.383537653239929,2895,3438,-543,5550,4816,734,4347,4668,-321,68,85,-17,110,121,-11
18,43740.22388888889,Red,Jungle,AHaHaCiK,Unicorns of Love,Rek'Sai,Pantheon,Rumble,Gangplank,Skarner,Elise,38.06666666666667,1,3,2,4,16,8,0,0,0,0,0,0,0,7.924383333333333,0.07880910683012259,0.026269702276707527,0.6304728546409807,1,17.121616666666664,4,0,3,0,0,0,1,2,0,0,0,,1,13.696416666666666,1,1,11,3,1.0,22.9774,2,0,11115,291.9877408056042,0.15080183431470978,0.18709903481667892,33,0.8669001751313484,0.24444444444444444,22,0.5779334500875656,9,9, , ,13158,216.0168126094571,12325,0.08456659619450317,39,165,71,35,5.359019264448335,3753,3210,543,5204,4663,541,4078,3130,948,63,47,16,89,75,14
19,43740.22388888889,Red,Middle,Nomanz,Unicorns of Love,Tristana,Pantheon,Rumble,Gangplank,Skarner,Elise,38.06666666666667,1,5,1,6,16,8,1,0,0,0,0,0,0,7.924383333333333,0.13134851138353765,0.026269702276707527,0.6304728546409807,0,17.121616666666664,4,0,1,0,1,0,0,0,0,0,0,,1,13.696416666666666,1,1,11,3,1.0,22.9774,2,0,23961,629.448336252189,0.3250888665780262,0.27462992204813635,13,0.3415061295971979,0.0962962962962963,20,0.5253940455341506,3,3, , ,17005,317.076357267951,16295,0.3598841419261405,313,24,17,0,8.852889667250437,3733,3016,717,5650,5064,586,4842,4239,603,86,75,11,140,126,14
20,43740.22388888889,Red,ADC,Innaxe,Unicorns of Love,Heimerdinger,Pantheon,Rumble,Gangplank,Skarner,Elise,38.06666666666667,1,5,0,4,16,8,1,0,0,0,0,0,0,7.924383333333333,0.13134851138353765,0.07880910683012259,0.6304728546409807,0,17.121616666666664,4,0,0,0,0,0,0,0,0,0,0,,1,13.696416666666666,1,1,11,3,1.0,22.9774,2,0,20072,527.2854640980735,0.27232518383849347,0.2223207175393969,11,0.2889667250437828,0.08148148148148149,5,0.13134851138353765,0,0, , ,14706,256.68231173380036,13450,-0.11558669001751314,249,20,12,4,7.066549912434326,3040,3524,-484,4845,4852,-7,3284,3287,-3,65,88,-23,105,120,-15
21,43740.22388888889,Red,Support,Edward,Unicorns of Love,Morgana,Pantheon,Rumble,Gangplank,Skarner,Elise,38.06666666666667,1,1,3,9,16,8,0,0,0,0,0,0,0,7.924383333333333,0.026269702276707527,0.0,0.6304728546409807,0,17.121616666666664,4,0,0,0,0,0,0,0,0,0,0,,1,13.696416666666666,1,1,11,3,1.0,22.9774,2,0,5288,138.9141856392294,0.07174449841261227,0.10038725648574978,56,1.4711033274956216,0.4148148148148148,10,0.2626970227670753,16,16, , ,9347,115.90297723292468,8300,0.10793650793650794,20,0,0,0,0.5253940455341506,1895,1898,-3,2915,2841,74,2867,2547,320,7,0,7,9,2,7
