,team1,team2,winner,date,pbp_caster,color_caster,mvp,blue,red
46,DAMWON Gaming,ahq eSports Club,DAMWON Gaming,2019-10-20 16:00:00,Quickshot,Kobe,Nuguri,DAMWON Gaming,ahq eSports Club
47,Invictus Gaming,Team Liquid,Invictus Gaming,2019-10-20 17:00:00,Quickshot,Kobe,TheShy,Invictus Gaming,Team Liquid
48,FunPlus Phoenix,Splyce,FunPlus Phoenix,2019-10-17 19:00:00,Medic,"Jatt, Froskurinn",Doinb,FunPlus Phoenix,Splyce
49,G2 Esports,Griffin,Griffin,2019-10-18 19:00:00,Drakos,"Jatt, Vedius",Tarzan,G2 Esports,Griffin
50,Clutch Gaming,Unicorns Of Love,Unicorns Of Love,2019-10-02 11:00:00,Medic,Jatt,AHaHaCiK,Clutch Gaming,Unicorns Of Love
51,DetonatioN FocusMe,Splyce,Splyce,2019-10-02 12:00:00,Medic,Jatt,Kobbe,DetonatioN FocusMe,Splyce
52,MAMMOTH,Unicorns Of Love,MAMMOTH,2019-10-02 13:00:00,Medic,Jatt,Triple,MAMMOTH,Unicorns Of Love
53,DetonatioN FocusMe,Isurus,Isurus,2019-10-02 14:00:00,Atlus,EGym,Warangelus,DetonatioN FocusMe,Isurus
54,MAMMOTH,Clutch Gaming,Clutch Gaming,2019-10-02 15:00:00,Atlus,EGym,Huni,MAMMOTH,Clutch Gaming
55,Splyce,Isurus,Splyce,2019-10-02 16:00:00,Atlus,EGym,Humanoid,Splyce,Isurus
56,Royal Youth,DAMWON Gaming,DAMWON Gaming,2019-10-03 11:00:00,Atlus,Froskurinn,Nuguri,Royal Youth,DAMWON Gaming
57,MEGA,Hong Kong Attitude,Hong Kong Attitude,2019-10-03 12:00:00,Atlus,Froskurinn,3Z,MEGA,Hong Kong Attitude
58,DAMWON Gaming,Flamengo eSports,DAMWON Gaming,2019-10-03 13:00:00,Atlus,Froskurinn,Canyon,DAMWON Gaming,Flamengo eSports
59,MEGA,Lowkey Esports,MEGA,2019-10-03 14:00:00,Drakos,EGym,Rockky,MEGA,Lowkey Esports
60,Royal Youth,Flamengo eSports,Flamengo eSports,2019-10-03 15:00:00,Drakos,EGym,Luci,Royal Youth,Flamengo eSports
61,Hong Kong Attitude,Lowkey Esports,Lowkey Esports,2019-10-03 16:00:00,Drakos,EGym,Artifact,Hong Kong Attitude,Lowkey Esports
62,Unicorns Of Love,Clutch Gaming,Unicorns Of Love,2019-10-04 10:00:00,Drakos,Jatt,AHaHaCiK,Unicorns Of Love,Clutch Gaming
63,Splyce,DetonatioN FocusMe,DetonatioN FocusMe,2019-10-04 11:00:00,Drakos,Jatt,Evi,Splyce,DetonatioN FocusMe
64,Unicorns Of Love,MAMMOTH,MAMMOTH,2019-10-04 12:00:00,Drakos,Jatt,k1ng,Unicorns Of Love,MAMMOTH
65,Isurus,DetonatioN FocusMe,Isurus,2019-10-04 13:00:00,Medic,Spawn,Warangelus,Isurus,DetonatioN FocusMe
66,Clutch Gaming,MAMMOTH,Clutch Gaming,2019-10-04 14:00:00,Medic,Spawn,Huni,Clutch Gaming,MAMMOTH
67,Isurus,Splyce,Splyce,2019-10-04 15:00:00,Medic,Spawn,Humanoid,Isurus,Splyce
68,DAMWON Gaming,Royal Youth,DAMWON Gaming,2019-10-05 10:00:00,Atlus,Jatt,ShowMaker,DAMWON Gaming,Royal Youth
69,Hong Kong Attitude,MEGA,Hong Kong Attitude,2019-10-05 11:00:00,Atlus,Jatt,Crash,Hong Kong Attitude,MEGA
70,Flamengo eSports,DAMWON Gaming,DAMWON Gaming,2019-10-05 12:00:00,Atlus,Jatt,ShowMaker,Flamengo eSports,DAMWON Gaming
71,Lowkey Esports,MEGA,Lowkey Esports,2019-10-05 13:00:00,Drakos,Ender,DNK,Lowkey Esports,MEGA
72,Flamengo eSports,Royal Youth,Royal Youth,2019-10-05 14:00:00,Drakos,Ender,Pilot,Flamengo eSports,Royal Youth
73,Lowkey Esports,Hong Kong Attitude,Hong Kong Attitude,2019-10-05 15:00:00,Drakos,Ender,Crash,Lowkey Esports,Hong Kong Attitude
74,Unicorns Of Love,MAMMOTH,Unicorns Of Love,2019-10-04 16:00:00,Medic,Spawn,BOSS,MAMMOTH,Unicorns Of Love
75,Clutch Gaming,Unicorns Of Love,Clutch Gaming,2019-10-04 17:00:00,Medic,Spawn,Huni,Clutch Gaming,Unicorns Of Love
76,Flamengo eSports,Royal Youth,Royal Youth,2019-10-05 16:00:00,Drakos,Ender,Armut,Royal Youth,Flamengo eSports
77,DAMWON Gaming,Lowkey Esports,DAMWON Gaming,2019-10-07 11:00:00,Atlus,Jatt,ShowMaker,Lowkey Esports,DAMWON Gaming
81,Clutch Gaming,Royal Youth,Clutch Gaming,2019-10-07 16:00:00,Medic,EGym,Cody Sun,Clutch Gaming,Royal Youth
84,Hong Kong Attitude,Isurus,Hong Kong Attitude,2019-10-08 11:00:00,Medic,Spawn,Kaiwing,Hong Kong Attitude,Isurus
88,Splyce,Unicorns Of Love,Splyce,2019-10-08 16:00:00,Drakos,Ender,Kobbe,Unicorns Of Love,Splyce
