"","champion","sum_total","win_total","lose_total","winrate_total","sum_blue_side","win_blue_side","lose_blue_side","winrate_blue_side","sum_red_side","win_red_side","lose_red_side","winrate_red_side","matches_less_25_min","win_lose_less_25_min","winrate_less_25_min","matches_25_to_30_min","win_lose_25_to_30_min","winrate_25_30_min","matches_30_35_min","win_lose_30_35_min","winrate_30_35_min","matches_35_40_min","win_lose_35_40_min","winrate_35_40_min","matches_40_45_min","win_lose_40_45_min","winrate_40_45_min","matches_more_45_min","win_lose_more_45_min","winrate_more_45_min"
"29","Alistar","14","5","9","36%","8","3","5","38%","6","2","4","33%","3","1-2","33%","8","4-4","50%","1","0-1","0%","1","0-1","0%","1","0-1","0%","0","0-0","0%"
"30","Orianna","13","7","6","54%","2","0","2","0%","11","7","4","64%","0","0-0","0%","1","1-0","100%","5","3-2","60%","4","1-3","25%","3","2-1","67%","0","0-0","0%"
"31","Yuumi","13","5","8","38%","2","1","1","50%","11","4","7","36%","1","1-0","100%","4","1-3","25%","2","1-1","50%","2","1-1","50%","3","1-2","33%","1","0-1","0%"
"32","Pyke","13","4","9","31%","8","4","4","50%","5","0","5","0%","1","0-1","0%","5","2-3","40%","4","2-2","50%","1","0-1","0%","1","0-1","0%","1","0-1","0%"
"33","Nocturne","12","3","9","25%","3","0","3","0%","9","3","6","33%","1","0-1","0%","4","1-3","25%","2","1-1","50%","2","1-1","50%","2","0-2","0%","1","0-1","0%"
"34","Aatrox","11","5","6","45%","2","1","1","50%","9","4","5","44%","3","0-3","0%","4","3-1","75%","3","1-2","33%","1","1-0","100%","0","0-0","0%","0","0-0","0%"
"35","Ornn","10","7","3","70%","4","3","1","75%","6","4","2","67%","1","0-1","0%","4","4-0","100%","2","1-1","50%","2","1-1","50%","1","1-0","100%","0","0-0","0%"
"36","Olaf","10","6","4","60%","5","4","1","80%","5","2","3","40%","1","0-1","0%","4","2-2","50%","4","3-1","75%","1","1-0","100%","0","0-0","0%","0","0-0","0%"
"37","Taliyah","9","6","3","67%","6","5","1","83%","3","1","2","33%","0","0-0","0%","3","2-1","67%","4","2-2","50%","1","1-0","100%","1","1-0","100%","0","0-0","0%"
"38","Varus","9","6","3","67%","4","4","0","100%","5","2","3","40%","2","2-0","100%","1","0-1","0%","2","2-0","100%","2","1-1","50%","2","1-1","50%","0","0-0","0%"
"39","Kled","9","5","4","56%","4","2","2","50%","5","3","2","60%","0","0-0","0%","4","1-3","25%","4","3-1","75%","1","1-0","100%","0","0-0","0%","0","0-0","0%"
"40","Morgana","9","5","4","56%","3","2","1","67%","6","3","3","50%","0","0-0","0%","1","1-0","100%","2","1-1","50%","4","1-3","25%","1","1-0","100%","1","1-0","100%"
"41","Twisted Fate","9","4","5","44%","5","4","1","80%","4","0","4","0%","1","0-1","0%","4","2-2","50%","1","0-1","0%","1","0-1","0%","2","2-0","100%","0","0-0","0%"
"42","Cassiopeia","8","4","4","50%","4","2","2","50%","4","2","2","50%","1","0-1","0%","2","1-1","50%","3","2-1","67%","1","0-1","0%","0","0-0","0%","1","1-0","100%"
"43","Corki","8","4","4","50%","2","1","1","50%","6","3","3","50%","0","0-0","0%","0","0-0","0%","4","2-2","50%","3","1-2","33%","1","1-0","100%","0","0-0","0%"
"44","Blitzcrank","8","3","5","38%","2","1","1","50%","6","2","4","33%","0","0-0","0%","1","0-1","0%","2","2-0","100%","2","0-2","0%","3","1-2","33%","0","0-0","0%"
"45","Garen","8","3","5","38%","2","1","1","50%","6","2","4","33%","0","0-0","0%","1","0-1","0%","1","1-0","100%","2","1-1","50%","3","1-2","33%","1","0-1","0%"
"46","Irelia","8","3","5","38%","5","3","2","60%","3","0","3","0%","0","0-0","0%","3","0-3","0%","2","1-1","50%","1","1-0","100%","1","0-1","0%","1","1-0","100%"
"47","Shen","8","3","5","38%","4","2","2","50%","4","1","3","25%","1","0-1","0%","3","1-2","33%","0","0-0","0%","2","1-1","50%","2","1-1","50%","0","0-0","0%"
"48","Skarner","8","1","7","13%","3","1","2","33%","5","0","5","0%","0","0-0","0%","1","0-1","0%","4","0-4","0%","2","1-1","50%","0","0-0","0%","1","0-1","0%"
"49","Kennen","7","5","2","71%","2","1","1","50%","5","4","1","80%","2","1-1","50%","1","1-0","100%","2","1-1","50%","0","0-0","0%","2","2-0","100%","0","0-0","0%"
"50","Tahm Kench","7","5","2","71%","4","3","1","75%","3","2","1","67%","2","2-0","100%","0","0-0","0%","1","1-0","100%","1","1-0","100%","3","1-2","33%","0","0-0","0%"
"51","Heimerdinger","7","4","3","57%","5","3","2","60%","2","1","1","50%","0","0-0","0%","1","0-1","0%","1","0-1","0%","2","2-0","100%","1","1-0","100%","2","1-1","50%"
"52","Sion","7","1","6","14%","3","0","3","0%","4","1","3","25%","0","0-0","0%","2","0-2","0%","1","0-1","0%","3","1-2","33%","1","0-1","0%","0","0-0","0%"
"53","Lissandra","6","3","3","50%","1","1","0","100%","5","2","3","40%","1","1-0","100%","1","1-0","100%","3","1-2","33%","0","0-0","0%","1","0-1","0%","0","0-0","0%"
"54","Neeko","6","3","3","50%","3","1","2","33%","3","2","1","67%","1","1-0","100%","2","1-1","50%","2","0-2","0%","1","1-0","100%","0","0-0","0%","0","0-0","0%"
"55","Veigar","6","3","3","50%","1","0","1","0%","5","3","2","60%","0","0-0","0%","2","2-0","100%","3","0-3","0%","1","1-0","100%","0","0-0","0%","0","0-0","0%"
"56","Mordekaiser","6","0","6","0%","2","0","2","0%","4","0","4","0%","0","0-0","0%","0","0-0","0%","2","0-2","0%","2","0-2","0%","2","0-2","0%","0","0-0","0%"
"57","Rumble","5","3","2","60%","5","3","2","60%","0","0","0","0%","0","0-0","0%","4","3-1","75%","0","0-0","0%","0","0-0","0%","1","0-1","0%","0","0-0","0%"
"58","Cho'Gath","5","2","3","40%","3","2","1","67%","2","0","2","0%","0","0-0","0%","1","0-1","0%","2","1-1","50%","1","1-0","100%","0","0-0","0%","1","0-1","0%"
"59","Zoe","5","2","3","40%","3","1","2","33%","2","1","1","50%","2","2-0","100%","1","0-1","0%","0","0-0","0%","0","0-0","0%","2","0-2","0%","0","0-0","0%"
"60","Azir","5","1","4","20%","3","0","3","0%","2","1","1","50%","2","0-2","0%","1","1-0","100%","1","0-1","0%","1","0-1","0%","0","0-0","0%","0","0-0","0%"
